Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14960253,885,7027,02/27/2022 15:16,Beverley  St / Dundas St W,7398,02/27/2022 15:31,York St / Lakeshore St W - South,6148,Annual Member
14960254,921,7204,02/27/2022 15:18,College St / Crawford St,7419,02/27/2022 15:33,Bloor St W / Huron St,177,Casual Member
14960255,466,7012,02/27/2022 15:18,Elizabeth St / Edward St (Bus Terminal),7029,02/27/2022 15:25,Bay St / Bloor St W (East Side),2889,Casual Member
14960256,448,7473,02/27/2022 15:18,Adelaide St W / Strachan Ave,7366,02/27/2022 15:25,Fort York Blvd / Bathurst St SMART,1473,Annual Member
14960257,218,7054,02/27/2022 15:19,Navy Wharf Ct. / Bremner Blvd.,7070,02/27/2022 15:23,25 York St – Union Station South,3350,Annual Member
14960258,1177,7671,02/27/2022 15:19,Yonge St / Montgomery Ave - SMART,7126,02/27/2022 15:39,Yonge St / Yorkville Ave,6329,Annual Member
14960259,653,7172,02/27/2022 15:20,Strachan Ave / Princes' Blvd,7207,02/27/2022 15:31,Dundas St W / Crawford St,1310,Annual Member
14960260,223,7001,02/27/2022 15:21,Wellesley Station Green P,7418,02/27/2022 15:24,College Park - Yonge St Entrance,4857,Casual Member
14960261,188,7110,02/27/2022 15:21,Queen St E / Berkeley St,7489,02/27/2022 15:24,Sumach St  / Queen St E,4933,Annual Member
14960262,413,7360,02/27/2022 15:22,Concord Av / Dewson St,7040,02/27/2022 15:29,Euclid Ave / Bloor St W,4287,Annual Member
14960264,2015,7095,02/27/2022 15:22,Danforth Ave / Ellerbeck St,7579,02/27/2022 15:56,Glebe Rd W / Yonge St,6509,Casual Member
14960267,637,7115,02/27/2022 15:22,Howard St / Sherbourne St,7269,02/27/2022 15:33,Toronto Eaton Centre (Yonge St),5582,Casual Member
14960268,247,7680,02/27/2022 15:23,Princes Gate / Nunavut Dr,7243,02/27/2022 15:27,Exhibition GO Station,3191,Annual Member
14960269,646,7406,02/27/2022 15:23,Victoria St / Queen St E,7047,02/27/2022 15:33,University Ave / Gerrard St W (East Side),1983,Casual Member
14960271,174,7077,02/27/2022 15:23,College Park South,7271,02/27/2022 15:26,Yonge St / Alexander St - SMART,5399,Casual Member
14960272,1245,7046,02/27/2022 15:23,Niagara St / Richmond St W,7078,02/27/2022 15:44,College St / Major St,4343,Annual Member
14960274,229,7680,02/27/2022 15:23,Princes Gate / Nunavut Dr,7243,02/27/2022 15:27,Exhibition GO Station,1039,Annual Member
14960280,451,7074,02/27/2022 15:24,King St E / Church St,7382,02/27/2022 15:32,Simcoe St / Adelaide St W,2401,Annual Member
14960281,545,7599,02/27/2022 15:24,Richmond St W / York St,7256,02/27/2022 15:34,Vanauley St / Queen St W - SMART,3059,Casual Member
14960283,1194,7216,02/27/2022 15:25,Wellington St W / Stafford St,7076,02/27/2022 15:45,York St / Queens Quay W,4124,Annual Member
14960285,839,7534,02/27/2022 15:25,Walnut Ave / Queen St W,7148,02/27/2022 15:39,King St W / Joe Shuster Way,754,Casual Member
14960289,431,7078,02/27/2022 15:26,College St / Major St,7058,02/27/2022 15:33,Huron/ Harbord St,2324,Annual Member
14960291,829,7234,02/27/2022 15:26,Roncesvalles Ave / Marmaduke St,7369,02/27/2022 15:40,Dupont St / Emerson Ave SMART,3048,Annual Member
14960293,272,7204,02/27/2022 15:26,College St / Crawford St,7249,02/27/2022 15:31,Dovercourt Rd / Harrison St (Green P) - SMART,1585,Annual Member
14960294,715,7100,02/27/2022 15:26,Dundas St E / Regent Park Blvd,7458,02/27/2022 15:38,Church St / Lombard St,650,Annual Member
14960295,262,7034,02/27/2022 15:26,Church St / Bloor St E,7089,02/27/2022 15:31,Church St  / Wood St,4314,Annual Member
14960296,693,7543,02/27/2022 15:26,Nassau St / Bellevue Ave,7297,02/27/2022 15:38,Havelock St / Dufferin Park,6506,Annual Member
14960300,446,7239,02/27/2022 15:27,Bloor St W / Manning Ave - SMART,7156,02/27/2022 15:34,Salem Ave / Bloor St W,6511,Annual Member
14960301,1118,7269,02/27/2022 15:27,Toronto Eaton Centre (Yonge St),7467,02/27/2022 15:46,Lower Simcoe St / Bremner Blvd,6068,Casual Member
